Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,Collection Folder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
"F 115 DLP, 137.0115.12",Laurent Garnier,Unreasonable Behaviour,"F Communications, Play It Again Sam [PIAS]","2xLP, Album",,2000,11134,priced,2010-11-17 23:52:07,,,
"F068, 137 0068 30",Laurent Garnier,Flashback,"F Communications, Play It Again Sam [PIAS]","12""",,1997,26577,priced,2010-11-18 01:12:05,,,
FAC 102,Quando Quango,2 From Quando,Factory,"12""",,1984,12503,priced,2010-12-08 21:19:45,,,
FBN 29,"Wake, The",Harmony,Factory Benelux,"LP, Album",,1984,783911,priced,2010-11-18 01:54:47,,,
FTC 114,"Blackbyrds, The",Walking In Rhythm / The Baby,Fantasy,"7"", Single",,1974,985321,priced,2010-12-21 09:37:24,,,
FR-03,Kurt Maloo / Sophie Zelmani,Afterglow / If I Could,Fascinating Rhythms,"12"", Ltd",,2010,2575744,not priced,2010-12-17 13:41:19,,,
"FX 357, 570 389-1",Armand Van Helden Featuring Duane Harden,You Don't Know Me,"FFRR, FFRR","12""",,1999,11697,priced,2010-11-19 00:15:34,,,
FC 002,Raw Elements,Raw Basics,Final Cut,"12""",,1992,110035,priced,2010-11-19 00:32:22,,,
FB001,Sonic Assassins (3),Show Up & Be Counted,Flashback (3),"12"", Unofficial",,2009,1690955,priced,2010-11-13 02:45:13,,,
203.911,Johan Timman,Trip Into The Body,"Fleet, Ariola Benelux","LP, Album, Gat",,1981,192799,priced,2010-12-16 11:03:08,,,
BDL1-1196,Lonnie Liston Smith And The Cosmic Echoes,Visions Of A New World,Flying Dutchman,"LP, RE",,0,1965674,Uncategorized,2011-04-25 20:07:13,,,
FP04,Todd Terje,Eurodans,Full Pupp,"12""",,2005,551046,priced,2010-11-17 21:52:50,,,
DJ 009,D.J. Funk*,Shake A Lil' Sum'n / Sexual Positions,Funk Records,"12""",,0,72118,priced,2010-11-18 01:01:31,,,
"FUSE 033, ER02",Excepter,Vacation / Forget Me,"Fusetron, Excepter Records","12"", Amb",,0,302908,priced,2010-11-17 22:30:24,,,
ZZ 20 015,Gina & The Flexix,I Wanna Believe,Fuzz Dance,"12""",3,1985,284567,priced,2010-01-06 13:03:07,,,
WLL1,Massimo Barsotti D.J.*,Whole Lotta Love,Fuzz Dance (2),"12"", Unofficial",,2009,1938593,priced,2010-11-12 23:29:12,,,
AOS-432M,Alex Smith*,Here With Me,FXHE Records,"12""",,2009,2041747,priced,2010-11-18 21:22:16,,,
GK 1001,Various,The Gallery Volume 2,Gallery Classics,"12"", Unofficial, Comp",,2009,1817705,priced,2010-11-12 15:12:59,,,
GK 1006,Various,The Gallery Volume 7,Gallery Classics,"12"", Comp",,2009,1817730,priced,2010-11-12 15:12:48,,,
ITG 2001,Gwen Guthrie,Padlock,Garage Records (2),"12"", MiniAlbum, Unofficial",,0,2111756,priced,2010-11-12 21:25:23,,,
GHS  2018,Neil Young,Trans,Geffen Records,"LP, Album",,1982,399554,priced,2010-11-12 23:02:59,,,
"0-20977, 9 20977-0",Siouxsie & The Banshees,Peek-A-Boo,"Geffen Records, Geffen Records","12"", Maxi",,1988,330218,priced,2010-11-18 02:26:17,,,
0-40640,"Reese Project, The",I Believe,Giant Records,"12""",,1992,200265,priced,2010-12-06 08:47:11,,,
GG1,King & Hound,Stranger In The City / Midnight Girl,Golden Goose,"12""",,2007,1012973,priced,2010-11-12 20:47:14,Near Mint (NM or M-),Near Mint (NM or M-),
GG2,King & Hound,Wessen Das? / Kundalini,Golden Goose,"12""",,2007,1060843,Uncategorized,2011-05-01 10:18:50,,,
GG5,King & Hound,Golden Tears / The Horseman,Golden Goose,"12"", Unofficial",,2008,1603472,priced,2010-11-12 16:49:17,Near Mint (NM or M-),Near Mint (NM or M-),
GG6,King & Hound,A Spectacle / Elements Of Vogue,Golden Goose,"12"", Unofficial",,2010,2249090,priced,2010-11-12 20:42:35,Near Mint (NM or M-),Near Mint (NM or M-),
"GG7, ",King & Hound,Love Buzz/Can't Get Enough,"Golden Goose, ","12"", Unofficial",,2010,2557121,not priced,2010-11-20 21:31:22,,,
channel 013,Ghost Note,Kapwa / Albularyo,Golf Channel Recordings,"12""",,2011,2726877,Uncategorized,2011-04-22 19:06:36,,,
Channel-005,Dominik Von Senger,No Name 2009,Golf Channel Recordings,"12""",,2010,2382310,not priced,2010-11-12 20:53:21,Mint (M),Near Mint (NM or M-),
Channel-011,Dj Nature (2),Foggy Monday Morning,Golf Channel Recordings,"12""",,2010,2387636,priced,2010-11-19 00:19:31,,,
1730 GF,Rick James,17,Gordy,"7""",,1984,577082,not priced,2010-12-11 16:48:55,,,
7243 53078010,Neu!,Neu!,Grönland Records,"LP, Album, RE, Whi",,2001,431658,priced,2010-11-12 22:23:30,,,
GR-007,Raze,Let The Music Move U,Grove Street Records,"12"", Gre",,1986,2006948,not priced,2010-11-18 22:15:42,,,
001,Guynamukat,Afro Disco Boogie Edits Volume One,Guynamukat,"12"", Promo",4,2010,2242566,priced,2010-11-12 14:56:45,,,
002,Guynamukat,Afro Disco Boogie Edits Volume Two,Guynamukat,"12"", Unofficial",4,2010,2372835,priced,2010-11-12 14:56:42,,,
205 260-320,Harry Thumann,Andromeda,Hansa (2),"LP, Unofficial",,2010,2364381,priced,2010-11-12 20:43:32,,,
HY 001,Taxi (7),To Miami,Harmony Music,"12""",,1983,611280,priced,2010-11-12 23:37:04,,,
1C 064-45 879,Eberhard Schoener,Events,"Harvest, EMI Electrola","LP, Album, Gat",,1980,2139518,priced,2010-12-20 10:00:42,,,
SHDW-1222,Pink Floyd,"Careful With That Axe, Eugene","Harvest (2), Celebrate Life","12"", Promo, Comp, Unofficial",,2011,2729650,Uncategorized,2011-03-29 01:06:36,,,
HVN 212,Saint Etienne,Only Love Can Break Your Heart,Heavenly,"12""",,1990,8473,priced,2010-11-17 22:16:21,,,
HERCULE 1,Hercule,Sunday Morning Fever,Hercule,"12""",,2008,1377245,priced,2011-01-29 20:53:49,,,
HB-062,Gusto,Disco's Revenge,Hi-Bias Records Inc.,"12""",,1996,40793,priced,2010-12-04 18:55:35,,,
HC 004,"Andrew Allsgood Experience, The*",Macho Wizard / He Travels Far,History Clock,"12""",,2009,1674660,priced,2010-11-12 20:42:16,Near Mint (NM or M-),Very Good Plus (VG+),
SP-734,Seawind,Light The Light,Horizon Records & Tapes,LP,,1979,1529267,priced,2010-12-16 11:10:43,,,
HCL 2262,Grand Master Flash & The Furious Five* Feat. Melle Mel & Duke Bootee / Melle Mel & Duke Bootee,White Lines (Don't Do It) / Message II (Survival),Hot Classics,"12""",,1993,127685,priced,2010-12-06 22:36:59,,,
HMF 109,Mickey Oliver,In-Ten-Si-T,Hot Mix 5,"12""",,1988,55729,priced,2010-11-18 00:10:16,,,
HP-046,Todd Terry,Greatist Shit Of....,House Party,"12""",,2005,718740,priced,2010-11-19 00:29:34,,,
HDB013,Burial,Street Halo,Hyperdub,"12"", EP",5,2011,2783852,Uncategorized,2011-05-01 13:26:49,,,
CLICHE014,Uncle O,Untitled,I'm A Cliché,LP,,2008,1357217,priced,2010-11-20 21:15:22,,,
icrunch001,Dave Clarke,Before I Was So Rudely Interrupted,icrunch,"12""",,2000,5009,priced,2010-11-18 01:10:57,,,
WAR 022B,Jungle Brothers,I'll House You,Idlers,"12""",,1988,1972747,priced,2010-11-18 22:07:10,,,
12MAG-1202,Trans-X,Monkey Dance,Image Records (4),"12""",,1986,596317,not priced,2010-11-18 02:10:05,,,
MP-310,Tantra (2),The Double Album,Importe/12 Records,"2xLP, Album",4,1980,52217,priced,2010-11-12 14:31:52,,,
MP-318,Tantra (2),The Journey Continues: The Ma-Cum-Ba Suite / The Tarot Suite,Importe/12 Records,"12"", Mixed, Yel",4,1982,138442,priced,2010-11-12 14:32:57,,,
IMP-228,Alice Coltrane,Journey In Satchidananda,Impulse!,"LP, Album, RE",,1997,424029,priced,2011-02-07 19:30:45,,,
"IMS 58513, D 8402",IMS* / Patricia Harris,Dancing Therapy (Remix) / Heaven Is... (In The Backseat Of My Cadilac),"IMS (2), Did Records (2)","12""",,2009,1696906,priced,2010-11-13 00:05:56,,,
ITR-200,"Dirtbombs, The",Party Store,In The Red Recordings,"3x12"", Album",,2011,2680337,Uncategorized,2011-03-12 13:49:56,,,
IV22,Âme,Setsa / Ensor,Innervisions,"12""",,2009,1748381,priced,2010-11-18 21:26:13,,,
IC 58 065,Richard Wahnfried,Time Actor,Innovative Communication,"LP, Album",,1979,1728844,not priced,2010-12-16 11:06:24,,,
IC 58 178,P'cock,The Prophet,Innovative Communication,LP,,1980,834293,priced,2010-12-16 11:24:31,,,
Gigolo  35,David Carretta,Le Catalogue Electronique,International Deejay Gigolo Records,"2x12"", Album",,1999,25827,priced,2010-11-18 01:39:02,,,
GIGOLO  41,Foremost Poets,Reasons To Be Dismal,International Deejay Gigolo Records,"12""",,1998,31530,priced,2010-11-18 01:38:30,,,
GIGOLO  64,Steril,Shades Of Grey E.P.,International Deejay Gigolo Records,"12"", EP",,2001,8618,priced,2010-11-18 01:36:59,,,
GIGOLO 260T2,Hell Featuring Bryan Ferry,U Can Dance,International Deejay Gigolo Records,"12"", 2/3",,2010,2123156,priced,2010-11-17 21:44:39,,,
Gigolo 48,AtWil / Erotek,Detroit EP,International Deejay Gigolo Records,"12"", EP",,2000,13868,priced,2010-11-13 00:17:54,,,
"Gigolo61, GIGOLO 27561",Fischerspooner,Emerge,"International Deejay Gigolo Records, International Deejay Gigolo Records","12""",,2001,8348,priced,2010-11-18 01:40:40,,,
IFEEL008LTD,DJ Harvey Presents Locussolus,Tan Sedan,International Feel Recordings,"12"", Ltd",,2010,2455621,not priced,2010-11-13 00:38:28,,,
IRR001,John Daly,Solitaire / Back It Up,International Records Recordings,"12""",,2008,1302750,priced,2010-11-17 21:41:01,,,
ITU 011,DJ Assault,Strictly 4 The Tricks,Intuit-Solar,"12""",,2001,5360,priced,2010-11-18 01:03:44,,,
INV099LP,Anika (9),Anika,Invada Records,"LP, Album, Ltd, Whi",,2010,2556745,not priced,2010-12-06 19:54:34,,,
0-96958,"Earons, The",Land Of Hunger,Island Records,"12""",,1984,260802,priced,2010-11-13 00:36:00,,,
422-862 957-1,U2,Lemon (Remixes),Island Records,"12"", Single, Yel",,1993,79068,priced,2010-11-13 02:44:29,,,
79 99160,Grace Jones,"Cry Now, Laugh Later",Island Records,"12""",,1983,883643,priced,2010-11-12 21:39:21,,,
90102-1,Will Powers,Dancing For Mental Health,Island Records,"LP, Album",,1983,231732,Uncategorized,2011-04-25 20:01:57,,,
90232-1-H,Frankie Goes To Hollywood,Welcome To The Pleasuredome,Island Records,"2xLP, Album",,1984,37042,priced,2011-01-02 17:11:55,,,
90286-1,Sly And Robbie*,Language Barrier,Island Records,"LP, Album",,1985,788494,priced,2010-11-12 21:42:51,,,
90495-1,Wally Badarou,Echoes,Island Records,LP,,1984,27564,Uncategorized,2011-03-12 13:58:39,,,
DMD  367,Grace Jones,Nipple To The Bottle / Ja Guys,Island Records,"12"", Promo",,1982,27800,priced,2010-11-12 21:40:07,,,
DMD  660,N.Y.C. Peech Boys*,Dance Sister (Biofeedback),Island Records,"12"", Promo",,1983,47729,priced,2010-12-08 21:20:09,,,
DMD  830,Frankie Goes To Hollywood,Welcome To The Pleasuredome,Island Records,"12"", Promo",,1985,2317361,not priced,2011-01-29 20:50:48,,,
DMD  893,Sly & Robbie,"Get To This, Get To That",Island Records,"12"", Promo",,1985,768640,priced,2010-11-12 21:41:28,,,
DMD 627,Marianne Faithfull,The Blue Millionaire,Island Records,"12"", TP",,1983,1305403,priced,2010-11-13 00:56:24,,,
ILPS 9470,Grace Jones,Portfolio,Island Records,"LP, Album",,1977,84921,priced,2010-11-12 21:28:42,,,
ILPS 9576,Steve Winwood,Arc Of A Diver,Island Records,"LP, Album",,1980,1241216,not priced,2010-11-13 01:36:38,,,
ILPS 9592,Grace Jones,Warm Leatherette,Island Records,LP,,1980,569678,priced,2010-11-12 21:37:39,,,
ISD 8655,Hi-Tension,Hi-Tension / Girl I Betcha,Island Records,"12""",,1978,1673749,priced,2011-02-06 20:02:32,,,
M1,Marianne Faithfull,Broken English,Island Records,"LP, Album",,1979,496471,priced,2010-11-13 02:33:45,,,
ZTTIQ-2,"Art Of Noise, The",(Who's Afraid Of?) The Art Of Noise!,"Island Records, ZTT","LP, Album",,1984,1561122,priced,2010-12-04 19:52:01,,,
DMD  638,Will Powers,Adventures In Success,Island Records (2),"12"", Promo",,2006,1265928,priced,2010-12-08 21:15:09,,,
IDIB 003,Farah (2),Law Of Life,Italians Do It Better,"12"", Ltd",,2007,1072422,priced,2010-11-17 21:16:23,,,
IDIB 005,Chromatics,In Shining Violence,Italians Do It Better,"12""",,2007,1094098,priced,2010-11-17 20:55:39,,,
italic 10,Antonelli Electr. Featuring Miss Kittin,The Vogue,Italic,"12""",,2000,24580,priced,2010-11-18 01:46:44,,,
5003-1,Timmy -T-*,Time After Time,"Jam City Records, Quality Records / Quality Music & Video","12""",,1989,73106,priced,2010-12-04 19:42:32,,,
SUN 413,Debbie Deb,When I Hear Music,"Jam Packed, Sunnyview Records","12"", RE",,1984,325287,priced,2010-12-07 20:35:32,,,
JR-15806,Cymande,Brothers On The Slide,Janus Records,"12"", RE",,2010,2573659,not priced,2010-12-04 18:10:21,,,
1371-1-JDAB,Mr. Lee,I Like The Girls,Jive,"12"", Promo",,1990,2417770,not priced,2010-11-18 22:10:16,,,
HIP   6,Willesden Dodgers,Jive Scratch Trax,Jive,2xLP,,1983,98715,priced,2010-12-04 19:47:47,,,
JL8-8105,Willesden Dodgers,Jive Scratch Trax,Jive,2xLP,,1983,435378,priced,2010-11-17 17:53:06,,,
JUNO 7,"Detroit Experiment, The","Think Twice (Henrik Schwarz Remixes, Original Mix)",Juno Records,"12""",,2009,1658500,priced,2010-11-18 21:26:46,,,
TN 1881,Various,Electric Boogie,K-Tel International (Holland) B.V.,"LP, Comp",,1983,217855,not priced,2010-12-04 19:40:09,,,
KAZ LP 5,Shriekback,The Best Of Shriekback: Volume Two,Kaz Records,"LP, Comp",,1988,844091,not priced,2010-11-18 02:15:30,,,
KDJ 30,Moodymann,J.A.N.,KDJ,"12"", S/Sided",,2001,4489,priced,2010-11-18 21:15:58,,,
KSE-02,Nacho Patrol,Futuristic Abeba,Kindred Spirits,"12""",,2009,1706146,priced,2010-11-18 00:02:03,,,
KS 95L,Chicken Lips,Sweet Cow,Kingsize,"10""",,2005,469572,priced,2010-11-17 20:54:22,,,
JAMS DLP 3,"Justified Ancients Of Mu Mu, The / Disco 2000 / Timelords, The",Shag Times,KLF Communications,"2xLP, Comp",,1988,160230,priced,2010-11-17 22:15:01,,,
KRE01,"Advent, The",Time Trap Teknik,Kombination Research,2xLP,,2001,54827,priced,2010-11-18 01:47:05,,,
KOM 126,Matias Aguayo,Are You Really Lost,Kompakt,"2x12"", Album",,2005,538204,priced,2010-11-17 23:36:48,,,
KU   38,Idris Muhammad,Boogie To The Top,Kudu,LP,,1978,478787,priced,2011-02-14 19:07:57,,,
KURBEL017,Savas Pascalidis,Sexomatic E.P.,Kurbel,"12"", EP",,1999,7408,priced,2010-11-18 01:27:11,,,
SDT002,L.S.B.,Super Discoteca,L.S.B. Edits Inc.,"12""",,2008,1496250,priced,2010-11-13 02:11:50,,,
WORD 12019,Tao,Riot In Lagos Remixes Part 1,Language,"12""",,1997,69690,priced,2010-12-18 12:10:23,,,
LASERGUN 002,Savas Pascalidis,Stellar Funk,Lasergun,"12""",,2000,8897,priced,2010-11-13 00:18:29,,,
NC 1003,Vivien Vee,Give Me A Break / Remember,Launch,"12""",,1980,493419,priced,2011-01-29 20:18:38,,,
CAR-1,Anna Domino,L'Amour Fou,"Les Disques Du Crépuscule, Caroline (UK)","LP, Album",,1989,1676257,not priced,2010-11-18 02:09:26,,,
LGL 03,Florence & The Machine*,Let's Get Lost Vol. 3 - Rabbit Heart (Raise It Up),Let's Get Lost,"12"", Promo, Unofficial",,2010,2485988,not priced,2010-11-17 21:55:47,,,
LROCK 05T,Electrelane,I Want To Be The President EP,Let's Rock! Records,"12"", EP",,2002,1565582,priced,2010-11-18 01:35:48,,,
LITA 040,Serge Gainsbourg,Histoire De Melody Nelson,Light In The Attic,"LP, Album, RE",,2009,1787389,priced,2010-11-13 00:49:07,,,
LSD005,Light Sounds Dark / Psychemagik,After The Void,Light Sounds Dark,"2xLP, Comp",,2011,2699193,Uncategorized,2011-03-29 01:08:27,,,
playrjc 005,Various,Live At Robert Johnson Vol. 4,Live At Robert Johnson,"12"", Smplr",,2010,2154622,priced,2010-11-17 22:22:23,,,
playrjc 008,Ideal (3),Schöne Frau Mit Geld (Losoul Versions),Live At Robert Johnson,"12"", Pic",,2010,2455696,not priced,2011-02-14 19:03:55,,,
LC 2010,Various,Loft Classics (Volume 11),Loft Classics,"12"", Unofficial",,1995,168313,Uncategorized,2011-03-29 01:07:40,,,
LC-2013,Various,Loft Classics Volume 14,Loft Classics,"12"", Unofficial",,1995,336557,Uncategorized,2011-03-19 15:51:03,,,
"LONX 117, none",Steve 'Silk' Hurley*,Jack Your Body,"London Records, D.J. International Records","12""",,1986,50719,priced,2010-11-18 22:00:42,,,
LOOG 033,Memory Tapes,Bicycle,Loog Records,"12"", Single",,2009,1906131,priced,2010-11-17 21:48:09,,,
LUX14501,Erotika,Berimbau,Luxor Records,"12""",,2008,1381278,not priced,2010-11-19 00:15:01,,,
J 1611 FL,Five Letters,Got Got Money,Malligator,LP,,1979,500182,priced,2010-12-16 11:14:52,,,
Pro 7811,Bonk Combo*,Car Jam,Mango,"12"", Pro",4,1983,1488430,priced,2010-11-12 23:20:39,,,
MKG011-6,Challenge (5),Broken Clock,Marketing Music,"12""",,2010,2455605,not priced,2010-11-17 21:39:47,,,
MARLIN 2216,Quartz (4),Quartz,Marlin,LP,,1978,130320,priced,2011-01-29 20:51:48,,,
MMR 005,Trans-Lux,Get It Off,Master Mix Records (2),"12""",,1984,523005,priced,2010-12-04 19:48:38,,,
MAW 072,MAW Electronic,Tranz / Body,MAW Records,"12""",,2002,76606,priced,2010-11-18 23:38:34,,,
MAW-001,KenLou,Moonshine / Hillbilly Song,MAW Records,"12"", RE",,0,519695,priced,2010-11-18 22:31:26,,,
MAW-003,Kenlou 2,The Bounce / Gimme Groove,MAW Records,"12"", RE",,0,1526318,priced,2010-11-18 22:31:01,,,
MAW-005,KenLou 3*,What A Sensation,MAW Records,"12"", RE",,2000,519698,priced,2010-11-18 22:31:48,,,
MAW-053,"MAW* Featuring Wunmi / ""Little Louie"" Vega* Feat. Blaze",Unreleased Mixes - Ekabo / Elements Of Life,MAW Records,"12""",,2000,3858,priced,2010-11-18 22:29:52,,,
MCA 12 54363,Mr Fingers*,Closer,MCA Records,"12""",,1992,126262,priced,2010-11-18 22:06:12,,,
MCA-23639,L.A. Dream Team,Nursery Rhymes,MCA Records,"12""",,1986,426347,priced,2010-12-04 19:30:15,,,
"MCA  3205, MCA-3205",African Suite,African Suite,"MCA Records, MCA Records","LP, Album",,1980,433632,priced,2010-11-18 01:55:33,,,
"259 379-0, 25 9379-0",Paparazzi (3),Don't Stay All Night,"MCA Records, WEA Italiana SpA","12""",,1984,1135687,not priced,2010-11-12 23:34:34,,,
MPM075,Sygaire & Defcon*,Yigitler,Melting Pot Music,"12""",,2009,1873885,not priced,2010-11-13 01:39:32,,,
MO9,Various,Historical Archives Volume 9,Members Only,"12""",,2008,1248336,priced,2010-11-18 22:11:33,,,
6840 217,Demis*,Follow Me,Mercury,"12"", Maxi, Promo",,1982,1664326,not priced,2011-01-29 20:19:43,,,
810 479-1,Berlin,Sex (I'm A...),Mercury,"12"", Maxi",,1983,780573,priced,2011-01-11 20:45:55,,,
SRM-1-3848,Peter Gabriel,Peter Gabriel,Mercury,"LP, Album",,1980,1080713,priced,2010-11-13 00:30:23,,,
MRG348,Caribou,Swim,Merge Records,"2x12"", Album",,2010,2233855,priced,2010-11-12 16:51:23,Near Mint (NM or M-),Near Mint (NM or M-),
M-001,Model 500,No UFO's,Metroplex,"12""",,2003,1097544,priced,2010-11-18 00:55:10,,,
MiG 00231 LP,Niagara,Niagara,MIG,"LP, Album, RE",,2010,2543077,not priced,2010-12-17 13:44:29,,,
MR-009,Danny Darrow,Impulse,Mighty Records,"12""",,1981,632274,priced,2011-01-29 20:20:47,,,
MRC 102,Azymuth,Dear Limmertz / Papasong,Milestone Records,"12""",,1980,376960,priced,2010-12-21 09:40:21,,,
MW019,Das Ding,H.S.T.A.,Minimal Wave,"LP, Ltd",,2009,2025440,priced,2010-11-12 22:28:53,,,
004,Richard Sen + Cazbee*,Wild Thing,Mixed Blood Cuts,"12"", Promo",,2009,2071462,priced,2010-11-13 01:45:41,,,
006,Golden Fleece (2),Dancin' In The Nude,Mixed Blood Cuts,"12""",,2010,2599805,not priced,2010-12-23 12:54:01,,,
MMM 2,Erik* & Fiedel,Donna,MMM,"12""",5,1997,57478,priced,2010-11-12 14:55:35,,,
M7-900R1,Mandré,Mandré Two,Motown,"LP, Album",,1978,919993,priced,2010-12-06 08:47:39,,,
TMGT 1361,Dazz Band,Let It All Blow (Extended Version),Motown,"12""",,1984,81968,priced,2010-12-04 19:29:50,,,
12MULTY21,Basement Jaxx,Fly Life,Multiply Records,"12""",,1997,16047,priced,2010-12-04 18:59:19,Very Good Plus (VG+),Very Good (VG),
MSI-108,Free Style*,The Party Has Begun,Music Specialists,"12""",,1984,1650282,priced,2010-12-06 22:44:46,,,
MSM001,Various,Balearic Sound Volumen Uno,Musica Sol Y Mar,"2xLP, Comp",,2009,2096976,priced,2010-11-13 01:37:54,,,
MSM003,Various,Balearic Sound Volumen Tres,Musica Sol Y Mar,"2x12"", Comp",,2010,2388808,priced,2010-11-13 01:38:17,,,
12 Mute 042,Erasure,Heavenly  Action,Mute,"12"", Single",,1985,197403,priced,2010-11-20 21:24:53,,,
L12MUTE112,Renegade Soundwave,Biting My Nails (Club Mixes),Mute,"12""",,1990,120696,priced,2010-11-12 21:46:48,,,
7 YAZ 001,Yazoo,Don't Go,Mute Records Ltd.,"7"", Single",,1982,27371,priced,2010-11-17 23:23:50,,,
P12 MUTE 104,Renegade Soundwave,Space Gladiator / The Phantom Mixes,Mute Records Ltd.,"12"", Promo",,1989,132515,priced,2010-11-12 21:23:12,Very Good (VG),Generic,
STUMM 170,Add N To (X),Avant Hard,Mute Records Ltd.,"2x12"", Album",,1999,52437,priced,2010-11-18 01:48:11,,,
509502,Yazoo,Don't Go,"Mute Records Ltd., Edisom, Lda.","7"", Single",,1982,1808086,not priced,2010-11-12 22:42:13,,,
Muzique 009,Steve Poindexter,Phase II,Muzique Records,"12"", Promo, W/Lbl",,2010,2382571,not priced,2010-11-17 23:36:19,,,
minus3,Plastikman,Hypokondriak / Afrika,M_nus,"12""",,1998,2140,priced,2010-11-17 23:55:32,,,
HOHI 88,Various,House Hits,Needle Records,"2xLP, Comp",,1988,191936,priced,2010-11-18 22:23:45,,,
NEEDW006,Massimiliano Pagliara,Keep On Dreaming,Needwant Recordings,"12""",,2010,2365867,priced,2010-11-17 17:43:42,,,
REG 113,John Foxx,Mr. No,New Religion,"12""",,2005,380369,priced,2010-11-17 21:26:32,,,
NI 1247,Aleem With Leroy Burgess,Confusion,NIA Records,"12""",,1985,51474,priced,2010-12-04 19:20:07,,,
ZEN  54,Wagon Christ,Musipal,Ninja Tune,2xLP,,2001,34620,priced,2010-11-17 22:44:21,,,
ZEN 12100,Wagon Christ,Receiver,Ninja Tune,"12""",,2001,25074,priced,2010-11-12 20:39:12,Near Mint (NM or M-),Near Mint (NM or M-),
1704LP,Various,Cosmic Excursions,Not On Label,"2xLP, Unofficial",,2006,776315,priced,2010-11-13 00:03:02,,,
ANNA 1,Anna (2),Systems Breaking Down,Not On Label,"12"", RE",,2009,1800849,priced,2010-11-12 23:36:23,,,
ASTERIX 001,"Chaplin Band, The / Shinehead",Il Veliero / Billy Jean / Who The Cap Fit,Not On Label,"12"", Unofficial, W/Lbl",,2003,214545,priced,2010-11-13 02:05:26,,,
Bundt1,Michael Bundt,Just Landed Cosmic Kid,Not On Label,"LP, Album, RE, Unofficial",,2010,2312725,priced,2010-12-17 13:43:51,,,
burglar003,Burglar Tom,Burglar Tom EP 3,Not On Label,"12"", EP",,2008,1410512,priced,2010-11-17 21:48:37,,,
HP 106,Soho / Earth People,Hot Music,Not On Label,"12""",,2003,207745,priced,2010-11-19 00:30:06,,,
PD 29,Various,Plastic Dreams / Diva-Pellas Vol. I,Not On Label,"12"", Unofficial",,0,404569,priced,2010-11-17 23:33:24,,,
RDY003,Ron Hardy,Untitled,Not On Label,"12"", W/Lbl, Unofficial, Red",,2010,2319807,priced,2010-11-18 22:12:38,,,
SEXUAL 1,Sexual Harrassment,I Need A Freak,Not On Label,"LP, Album, Unofficial",,2009,1969696,priced,2010-12-07 20:31:24,,,
SPLASH1,Stratosferic Band,Splash....,Not On Label,"LP, Unofficial",,2009,2041003,priced,2010-11-13 00:10:15,,,
VC 409,KC Flightt / Unknown Artist,Voices / Cabana,Not On Label,"12""",,1994,155120,priced,2011-01-29 20:42:52,,,
BOCNM-1104,Boards Of Canada,Unreleased Tracks,Not On Label (Boards Of Canada),"12"", Unofficial, Promo, M/Print",,2007,911603,priced,2010-11-15 23:52:11,,,
ESCAPEFROMNY 1,Escape From New York (2),Singles Collection,Not On Label (Escape From New York),"12"", Uno",,2010,2320584,priced,2010-12-17 13:39:50,,,
SWEET001,DJ Oji feat. Lauryn Hill,Sweet Intoxicated Woman,Not On Label (Lauryn Hill),"12"", Promo, W/Lbl",,2010,2395106,not priced,2010-11-19 00:21:08,,,
HIL1,Phil Collins / Stupid Man (2),I'm Not Moving (Idjut Boys Edit) / Swamp Funk,"Not On Label (Phil Collins), Not On Label (Stupid Man (2))","12"", S/Sided, W/Lbl, Unofficial, Sti",,2010,2382380,priced,2010-11-13 02:46:04,,,
PLU-02,Plastikman,Plasticine/Korridor/Lasttrak,Not On Label (Plastikman),"12"", Unofficial",,2010,2344305,not priced,2010-11-18 00:01:12,,,
YELLOWPOWER1,Yellow Power,Yellow Power,Not On Label (Yellow Power),"LP, Unofficial, RE",,2009,1984481,priced,2011-01-29 20:54:16,,,
FIMH 001,Escape From New York (2),Fire In My Heart,Not On Label (Escape From New York),"12"", S/Sided, Unofficial",,2009,2045139,priced,2010-11-13 00:58:12,,,
PLU-01,Plastikman,Consumed / Pakard,Not On Label (Plastikman),"12"", Unofficial",,2009,2053913,priced,2010-11-18 00:00:12,,,
FRC 0010,Stardust / Pépé Bradock,Music Sounds Better With You / Burnin,"Not On Label (Stardust), Not On Label (Pépé Bradock)","12"", Unofficial",,2000,350718,Uncategorized,2011-04-25 20:02:31,,,
JD 889,Tori Amos / CJ Bolland,Professional Widow / Sugar Is Sweeter,"Not On Label (Tori Amos), Not On Label (CJ Bolland)","12""",,2002,167600,Uncategorized,2011-04-25 20:02:55,,,
12nomu28,Plastikman,Spastik,NovaMute,"12"", RE",,2003,1031940,priced,2010-11-17 23:49:48,,,
12NOMU79,Luke Slater,All Exhale # 1,NovaMute,"12""",,2000,3979,priced,2010-11-18 01:26:33,,,
NoMu  77 LP,Cristian Vogel,Rescate 137,NovaMute,"2x12"", Album",,2000,20725,priced,2010-11-18 01:08:03,,,
NA 5068,Seu Jorge And Almaz (3),Seu Jorge And Almaz,Now-Again Records,"2xLP, Album",,2010,2376888,not priced,2010-11-13 00:34:44,,,
NG 038,Bobby Konders,House Rhythms,Nu Groove Records,"12""",,1990,2092,priced,2010-11-18 22:08:37,,,
GR 777341,Brian Auger,Night Train To Nowhere,Oak Shield,"12""",,1985,325463,priced,2010-12-16 11:07:57,,,
